Variable O&M ($/MWh)-Preex.Retiring,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
coal,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175
natural gas nonpeaker,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875
nuclear,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307,6.307
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
natural gas peaker,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875,92.239875
lignite,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175,33.11175
offshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
heavy or residual fuel oil,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
municipal solid waste,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14
