Imported Electricity (MWh),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,407976.7769176637,157426.4744429882,87613.35,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046,91483.2053053046
natural gas nonpeaker,8681745.812807882,3931288.9034512886,1958088.8380952384,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105,2087066.1627795105
nuclear,1746140.6052076004,669062.5163826998,312904.8214285714,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766,370532.2623082766
hydro,4977316.678395497,1285649.5412844038,997123.3642857142,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296,972738.8556028296
onshore wind,1417577.4963880829,863260.2549903762,609421.289810835,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069,476550.4914681069
solar PV,410158.46420305,278081.6847212882,199959.1816177363,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775,150897.809087775
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
